ID,spaceId,duration,number_of_participants,start_date,end_date,createdAt,updatedAt,roomSid
120118,22145,2,1,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,f9b961be-8253-4708-965d-c88216456387
120119,22142,13,1,7/2/2023 23:22,7/2/2023 23:23,7/2/2023 23:22,7/2/2023 23:23,6efda0bb-35b8-4143-96f4-7fab55566aff
120120,22144,3,1,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,679ba76c-75be-4161-a28f-920270e7f2a4
120121,22145,3,1,7/2/2023 23:22,7/2/2023 23:23,7/2/2023 23:22,7/2/2023 23:23,ce651ee4-ebc8-497e-b0a0-ee113c0b3245
120122,22144,3,1,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,66239548-f31f-4d5f-b65f-a10ed8e27889
120123,22145,3,1,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,0b2ea3ae-0246-450c-a01c-624c582884db
120124,22144,1,1,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,de3bb738-69b9-455f-b53b-efac5af85a82
120125,22145,11,2,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,56acf53a-b306-44d5-969c-44d63b09fb4f
120126,22142,16,1,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,eccd213b-d01f-4f5b-983e-f94c788408cf
120127,22144,16,2,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,0aaf440c-20b8-49e3-a51f-ce9cb0523b67
120128,22145,2,1,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,119f726d-2b9c-4b73-8700-0279bcf51a1d
120129,22145,1,1,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,aa8550d6-25f3-4b83-92d7-39ee784f38f1
120130,22142,13,1,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,6550ead9-cde6-40a4-a764-a613d36137bd
120131,22144,24,2,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,2db8cd53-8f08-463f-9454-dc4263b69888
120132,22145,2,1,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,30215ecf-0c99-4536-a829-9293a712e026
120133,22145,2,1,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,b290fd82-03b7-4f50-98f5-82c89847b828
120134,22145,2,1,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,eb250c70-7f84-404b-9ad6-97885f14b602
120135,22142,13,1,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,7/2/2023 23:23,89e53417-3fcb-41cf-a344-909424b45cac
120136,22142,21,1,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,b4ff1592-5f40-4bb9-9f2f-d806c9556ad8
120137,22144,2,1,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,4a996b0a-a627-4893-9109-71c768c9c38c
120138,22144,2,1,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,e5f4fd6a-6c7e-41a4-8f2e-0b2ce8483d39
120139,22144,1,1,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,048429b2-636f-4846-bb02-5a49ba6bac67
120140,22144,7,1,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,c75a1a81-ece7-4e93-a667-969a41c27fce
120141,22142,32,1,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,7e977cd2-265d-4805-bf13-8bc6b14064ca
120142,22144,7,1,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,e7f39bc0-c1b0-459a-98e2-ddf81fa77580
120143,22144,8,1,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,7/2/2023 23:24,7544b16b-5d47-44f7-80a6-9097ed075f52
120144,22144,11,2,7/2/2023 23:24,7/2/2023 23:25,7/2/2023 23:24,7/2/2023 23:25,57045f54-86a5-4f54-8772-1738fb343c67
120145,22142,21,1,7/2/2023 23:25,7/2/2023 23:25,7/2/2023 23:25,7/2/2023 23:25,8974a520-7b47-468b-937b-5f2cdbaf9028
120146,22144,11,2,7/2/2023 23:25,7/2/2023 23:25,7/2/2023 23:25,7/2/2023 23:25,f14938d7-691e-4e77-827b-07b08cec366a
120147,17760,1,1,7/2/2023 23:25,7/2/2023 23:25,7/2/2023 23:25,7/2/2023 23:25,1c6df6c5-c04e-4b97-a5d0-b9e8540839a5
120148,17760,7,2,7/2/2023 23:25,7/2/2023 23:25,7/2/2023 23:25,7/2/2023 23:25,bbb017aa-eca2-42b8-b5d4-8506c8b30ef0
120149,22054,291,1,7/3/2023 4:40,7/3/2023 4:45,7/3/2023 4:40,7/3/2023 4:45,8cd3654f-f9db-49fb-8719-ad137b39db8e
120150,22148,10,1,7/3/2023 4:51,7/3/2023 4:51,7/3/2023 4:51,7/3/2023 4:51,4d30525c-a5fa-4ec9-9f91-7ad95efdfa3f
120151,22150,11,2,7/3/2023 4:51,7/3/2023 4:51,7/3/2023 4:51,7/3/2023 4:51,912fde0b-ab2c-4649-9982-f49b2bc954cb
120152,22148,11,1,7/3/2023 4:51,7/3/2023 4:52,7/3/2023 4:51,7/3/2023 4:52,60524784-2f8e-445c-ae59-cca976c9d8a1
120153,22150,9,2,7/3/2023 4:51,7/3/2023 4:52,7/3/2023 4:51,7/3/2023 4:52,15cd518e-de37-4101-91eb-752cf059b36b
120154,22152,12,1,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,77e4b8d5-98cd-4020-b862-c21980ef1fde
120155,22148,9,1,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,40aae042-883d-4b58-9f3c-aceb5e50a712
120156,22150,21,2,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,499182a5-6754-4188-bdd2-93df03369ba5
120157,22148,13,1,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,b6bcd84b-02dc-41aa-af65-c19e07329679
120158,22152,13,1,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,32ccb4be-da75-4eaa-8b62-82c564ca9404
120159,22148,25,1,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,475c69c0-9ce4-4e8b-9b64-95c175dd4061
120160,22152,15,2,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,7/3/2023 4:52,5771dc6f-14ce-4f89-9907-0b0945e2712e
120161,22150,20,2,7/3/2023 4:52,7/3/2023 4:53,7/3/2023 4:52,7/3/2023 4:52,d20547c6-538a-4a13-a002-ae848ab3c3e7
120162,22152,10,2,7/3/2023 4:52,7/3/2023 4:53,7/3/2023 4:52,7/3/2023 4:53,0ecb8625-b26c-4fa0-a715-58c709bf5606
120163,22148,14,1,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,23fcd79c-a07c-48a7-aff8-f031e84ab5d4
120164,22150,2,1,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,8328e88e-b3cf-41ea-ba13-e84fbcfe2996
120165,22152,3,1,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,e71b06b5-3818-4916-a01c-30f5ebcafd84
120166,22150,8,1,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,6c627e3d-026d-4e9f-b47c-be9c62ac5e6d
120167,22152,3,1,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,d2951028-3deb-4222-b3ce-77d47e5a0688
120168,22148,17,1,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,fb222b66-39f8-49cd-8177-c0f117ab49c1
120169,22152,3,1,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,4227099e-aa39-48c2-a69a-a4dfa1b0a367
120170,22150,57,1,7/3/2023 4:53,7/3/2023 4:54,7/3/2023 4:53,7/3/2023 4:54,21c59858-89e9-4970-bea2-4d95ffc2c9f5
120171,22152,3,1,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,ebb0666d-81e5-4161-a3fc-43f1e6cfdba0
120172,22152,4,1,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,e102250e-b837-4a65-a741-5fb2e07e214f
120173,22148,13,1,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,0371f324-8242-47ab-b3d5-afe319900f1e
120174,22152,2,1,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,258099f9-6e8a-4e16-90d9-d1fc73193f58
120175,22152,2,1,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,2f988cf5-11bb-400e-a171-c7d4b23a51ca
120176,22152,3,1,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,7/3/2023 4:53,e59d3a5d-0bcc-410e-8285-89cfab0a24b8
120177,22148,14,1,7/3/2023 4:53,7/3/2023 4:54,7/3/2023 4:53,7/3/2023 4:54,b3e50303-58cc-4d68-8ffd-c31b7af82a8e
120178,22152,3,1,7/3/2023 4:53,7/3/2023 4:54,7/3/2023 4:53,7/3/2023 4:54,5e0b4933-c212-4887-8763-edeedf4857e8
120179,22152,16,2,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,244ad281-5f74-4828-b1cd-4b75427298b9
120180,22148,13,1,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,495a466b-001f-4543-b409-c93ec3b7bdec
120181,22152,2,1,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,5c369aea-5d8c-451a-9b16-d1a453bba514
120182,22150,2,1,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,d0120772-b8fc-4765-be82-f2b017f50697
120183,22152,2,1,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,7fc89656-a2a5-4fda-bc13-ad338b0bab90
120184,22148,17,1,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,ca0647df-df21-476e-b468-61a53bd3e584
120185,22150,2,1,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,b3ab3023-1647-4db9-91d4-ee445ea594cd
120186,22152,3,1,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,25d71d66-35e4-4e21-8a8c-8c1d22ed3e03
120187,22150,2,1,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,fe412896-16d3-43cc-9198-a8dd9772e927
120188,22152,2,1,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,204556b6-962a-4c81-8120-d23a4c4a5c02
120189,22150,15,2,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,6be172cf-eff7-469e-b22a-7ad85978dc38
120190,22152,2,1,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,7/3/2023 4:54,e04aee85-64a9-4530-af9b-98abf3dfbd19
120191,22148,15,1,7/3/2023 4:54,7/3/2023 4:55,7/3/2023 4:54,7/3/2023 4:55,a3c3c095-40ff-4e97-b091-d70da67281e8
