ID,spaceSessionId,userId,createdAt,updatedAt,joinDate,leftDate,parentSpaceSessionId,openSpaceUser
160430,127982,14327,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 8:26,8/25/2023 12:05,127981,0
160431,128053,1612,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 12:08,8/25/2023 13:11,128050,0
160432,128054,300,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 12:08,8/25/2023 12:22,128050,0
160433,128045,1612,8/25/2023 13:28,8/25/2023 13:28,8/25/2023 11:55,8/25/2023 13:14,128044,0
160434,128046,14266,8/25/2023 13:28,8/25/2023 13:28,8/25/2023 11:55,8/25/2023 13:28,128044,0
160435,128046,300,8/25/2023 13:28,8/25/2023 13:28,8/25/2023 11:56,8/25/2023 12:33,128044,0
160436,128046,30651,8/25/2023 13:28,8/25/2023 13:28,8/25/2023 11:56,8/25/2023 12:37,128044,0
160437,128057,331,8/25/2023 13:41,8/25/2023 13:41,8/25/2023 17:41,8/25/2023 17:41,,0
160438,128057,331,8/25/2023 13:41,8/25/2023 13:41,8/25/2023 17:41,8/25/2023 17:41,,0
160439,128060,14266,8/25/2023 13:58,8/25/2023 13:58,8/25/2023 13:55,8/25/2023 13:56,128058,0
160440,128063,14266,8/25/2023 14:11,8/25/2023 14:11,8/25/2023 14:11,8/25/2023 14:11,,0
160441,128064,14266,8/25/2023 14:12,8/25/2023 14:12,8/25/2023 14:11,8/25/2023 14:12,,0
160442,128062,14266,8/25/2023 14:32,8/25/2023 14:32,8/25/2023 14:07,8/25/2023 14:32,128061,0
160443,128065,14266,8/25/2023 15:17,8/25/2023 15:17,8/25/2023 14:12,8/25/2023 15:17,,0
160444,128069,636,8/25/2023 15:52,8/25/2023 15:52,8/25/2023 15:52,8/25/2023 15:52,,0
160445,128068,636,8/25/2023 18:30,8/25/2023 18:30,8/25/2023 15:28,8/25/2023 18:30,,0
160446,128068,537,8/25/2023 18:30,8/25/2023 18:30,8/25/2023 15:29,8/25/2023 18:27,,0
160447,128070,636,8/25/2023 19:25,8/25/2023 19:25,8/25/2023 19:24,8/25/2023 19:25,,0
160448,128071,636,8/25/2023 19:30,8/25/2023 19:30,8/25/2023 19:25,8/25/2023 19:30,,0
160449,128072,331,8/25/2023 19:32,8/25/2023 19:32,8/25/2023 19:27,8/25/2023 19:32,,0
160450,128072,330,8/25/2023 19:32,8/25/2023 19:32,8/25/2023 19:27,8/25/2023 19:32,,0
160451,128072,494,8/25/2023 19:32,8/25/2023 19:32,8/25/2023 19:27,8/25/2023 19:32,,0
160452,128072,2147481616,8/25/2023 19:32,8/25/2023 19:32,8/25/2023 19:28,8/25/2023 19:32,,1
160453,128072,2147481615,8/25/2023 19:32,8/25/2023 19:32,8/25/2023 19:29,8/25/2023 19:32,,1
160454,128072,2147481614,8/25/2023 19:32,8/25/2023 19:32,8/25/2023 19:29,8/25/2023 19:32,,1
160455,128072,2147481613,8/25/2023 19:32,8/25/2023 19:32,8/25/2023 19:31,8/25/2023 19:32,,1
160456,128072,2147481612,8/25/2023 19:32,8/25/2023 19:32,8/25/2023 19:31,8/25/2023 19:32,,1
160457,128072,2147481611,8/25/2023 19:32,8/25/2023 19:32,8/25/2023 19:31,8/25/2023 19:32,,1
160458,128072,2147481610,8/25/2023 19:32,8/25/2023 19:32,8/25/2023 19:31,8/25/2023 19:32,,1
160459,128073,331,8/25/2023 19:34,8/25/2023 19:34,8/25/2023 19:33,8/25/2023 19:34,,0
